Age,Gender,Education Level,Job Title,Years of Experience,Salary,Job Field
32,Male,Bachelor's,Software Engineer,5,90000.0,Engineering
28,Female,Master's,Data Analyst,3,65000.0,Data Analyst
45,Male,PhD,Senior Manager,15,150000.0,Management
36,Female,Bachelor's,Sales Associate,7,60000.0,Sales and Marketing
52,Male,Master's,Director,20,200000.0,Management
29,Male,Bachelor's,Marketing Analyst,2,55000.0,Data Analyst
42,Female,Master's,Manager,12,120000.0,Management
31,Male,Bachelor's,Manager,4,80000.0,Management
26,Female,Bachelor's,Marketing Coordinator,1,45000.0,Sales and Marketing
38,Male,PhD,Senior Scientist,10,110000.0,Research
29,Male,Master's,Software Developer,3,75000.0,Engineering
48,Female,Bachelor's,Manager,18,140000.0,Management
35,Male,Bachelor's,Financial Analyst,6,65000.0,Data Analyst
40,Female,Master's,Manager,14,130000.0,Management
27,Male,Bachelor's,Customer Service Rep,2,40000.0,Other
44,Male,Bachelor's,Manager,16,125000.0,Management
33,Female,Master's,Manager,7,90000.0,Management
39,Male,PhD,Senior Engineer,12,115000.0,Engineering
25,Female,Bachelor's,Data Entry Clerk,0,35000.0,Other
51,Male,Bachelor's,Sales Director,22,180000.0,Management
34,Female,Master's,Business Analyst,5,80000.0,Data Analyst
47,Male,Master's,Vp Of Operations,19,190000.0,Operations
30,Male,Bachelor's,It Support,2,50000.0,IT
36,Female,Bachelor's,Recruiter,9,60000.0,Human Resources
41,Male,Master's,Manager,13,140000.0,Management
28,Female,Bachelor's,Social Media Specialist,3,45000.0,Other
37,Female,Master's,Manager,11,110000.0,Management
24,Male,Bachelor's,Junior Developer,1,40000.0,Engineering
43,Female,PhD,Senior Consultant,15,140000.0,Consultancy
33,Male,Master's,Product Designer,6,90000.0,Other
50,Male,Bachelor's,Ceo,25,250000.0,Management
31,Female,Bachelor's,Accountant,4,55000.0,Finance
29,Male,Master's,Data Scientist,3,75000.0,Research
39,Female,Bachelor's,Marketing Specialist,10,65000.0,Sales and Marketing
46,Male,PhD,Senior Manager,20,170000.0,Management
27,Male,Bachelor's,Technical Writer,2,45000.0,Other
35,Female,Bachelor's,Hr Generalist,7,60000.0,Human Resources
42,Male,Master's,Project Engineer,14,115000.0,Engineering
26,Female,Bachelor's,Customer Success Rep,1,40000.0,Other
49,Male,Bachelor's,Sales Executive,21,160000.0,Management
34,Female,Master's,Ux Designer,5,80000.0,Other
48,Male,Master's,Operations Director,18,190000.0,Management
30,Male,Bachelor's,Network Engineer,3,60000.0,Engineering
36,Female,Bachelor's,Administrative Assistant,8,45000.0,Other
41,Male,Master's,Strategy Consultant,13,130000.0,Consultancy
28,Female,Bachelor's,Copywriter,2,40000.0,Other
32,Male,Bachelor's,Manager,5,75000.0,Management
45,Female,Master's,Director Of Marketing,16,180000.0,Management
38,Male,PhD,Senior Scientist,11,120000.0,Research
25,Male,Bachelor's,Help Desk Analyst,0,35000.0,Data Analyst
51,Female,Bachelor's,Manager,22,130000.0,Management
33,Male,Master's,Business Intelligence Analyst,7,85000.0,Data Analyst
40,Female,Bachelor's,Event Coordinator,12,60000.0,Other
47,Male,Master's,Vp Of Finance,19,200000.0,Finance
29,Female,Bachelor's,Graphic Designer,3,50000.0,Other
36,Male,Bachelor's,Manager,9,95000.0,Management
27,Female,Master's,Ux Researcher,2,65000.0,Research
43,Male,PhD,Senior Engineer,17,140000.0,Engineering
30,Female,Bachelor's,Manager,4,55000.0,Management
35,Male,Master's,Manager,7,105000.0,Management
51,Female,Master's,Director Of Operations,23,170000.0,Management
29,Male,Bachelor's,Marketing Analyst,3,50000.0,Data Analyst
40,Female,Bachelor's,Manager,12,80000.0,Management
47,Male,PhD,Senior Data Scientist,21,180000.0,Research
